Population,Latitude,Longitude,Year_start,Year_end,Line,Replicate,Sex,Development_time
Maryborough,-25.55,152.69,2004,2004,1,2,female,241.42
Maryborough,-25.55,152.69,2004,2004,1,2,female,247.47
Maryborough,-25.55,152.69,2004,2004,1,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,1,3,female,288.42
Maryborough,-25.55,152.69,2004,2004,2,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,2,2,female,216.65
Maryborough,-25.55,152.69,2004,2004,2,2,female,222.60
Maryborough,-25.55,152.69,2004,2004,2,2,female,222.60
Maryborough,-25.55,152.69,2004,2004,2,3,female,228.53
Maryborough,-25.55,152.69,2004,2004,2,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,2,3,female,247.47
Maryborough,-25.55,152.69,2004,2004,3,1,female,259.08
Maryborough,-25.55,152.69,2004,2004,3,1,female,277.17
Maryborough,-25.55,152.69,2004,2004,3,1,female,288.42
Maryborough,-25.55,152.69,2004,2004,3,2,female,253.25
Maryborough,-25.55,152.69,2004,2004,3,2,female,259.08
Maryborough,-25.55,152.69,2004,2004,3,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,4,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,4,2,female,288.42
Maryborough,-25.55,152.69,2004,2004,4,3,female,259.08
Maryborough,-25.55,152.69,2004,2004,5,1,female,259.08
Maryborough,-25.55,152.69,2004,2004,5,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,5,1,female,277.17
Maryborough,-25.55,152.69,2004,2004,5,1,female,288.42
Maryborough,-25.55,152.69,2004,2004,5,2,female,228.53
Maryborough,-25.55,152.69,2004,2004,5,2,female,235.03
Maryborough,-25.55,152.69,2004,2004,5,2,female,235.03
Maryborough,-25.55,152.69,2004,2004,5,2,female,241.42
Maryborough,-25.55,152.69,2004,2004,5,3,female,235.03
Maryborough,-25.55,152.69,2004,2004,5,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,6,1,female,210.77
Maryborough,-25.55,152.69,2004,2004,6,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,6,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,6,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,6,3,female,253.25
Maryborough,-25.55,152.69,2004,2004,7,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,7,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,7,3,female,262.87
Maryborough,-25.55,152.69,2004,2004,7,3,female,283.43
Maryborough,-25.55,152.69,2004,2004,7,3,female,306.82
Maryborough,-25.55,152.69,2004,2004,7,3,female,306.82
Maryborough,-25.55,152.69,2004,2004,7,3,female,328.05
Maryborough,-25.55,152.69,2004,2004,9,1,female,259.08
Maryborough,-25.55,152.69,2004,2004,9,2,female,283.43
Maryborough,-25.55,152.69,2004,2004,9,3,female,262.87
Maryborough,-25.55,152.69,2004,2004,9,3,female,271.48
Maryborough,-25.55,152.69,2004,2004,10,1,female,216.65
Maryborough,-25.55,152.69,2004,2004,10,1,female,216.65
Maryborough,-25.55,152.69,2004,2004,10,1,female,222.60
Maryborough,-25.55,152.69,2004,2004,10,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,10,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,10,2,female,235.03
Maryborough,-25.55,152.69,2004,2004,10,2,female,235.03
Maryborough,-25.55,152.69,2004,2004,10,2,female,241.42
Maryborough,-25.55,152.69,2004,2004,10,2,female,241.42
Maryborough,-25.55,152.69,2004,2004,10,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,10,3,female,253.25
Maryborough,-25.55,152.69,2004,2004,11,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,11,3,female,235.03
Maryborough,-25.55,152.69,2004,2004,11,3,female,253.25
Maryborough,-25.55,152.69,2004,2004,11,3,female,259.08
Maryborough,-25.55,152.69,2004,2004,12,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,12,1,female,247.47
Maryborough,-25.55,152.69,2004,2004,12,2,female,228.53
Maryborough,-25.55,152.69,2004,2004,12,3,female,241.42
Maryborough,-25.55,152.69,2004,2004,12,3,female,277.17
Maryborough,-25.55,152.69,2004,2004,13,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,13,1,female,283.43
Maryborough,-25.55,152.69,2004,2004,14,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,14,2,female,277.17
Maryborough,-25.55,152.69,2004,2004,14,3,female,247.47
Maryborough,-25.55,152.69,2004,2004,14,3,female,271.48
Maryborough,-25.55,152.69,2004,2004,16,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,16,1,female,283.43
Maryborough,-25.55,152.69,2004,2004,16,1,female,301.70
Maryborough,-25.55,152.69,2004,2004,16,1,female,312.87
Maryborough,-25.55,152.69,2004,2004,16,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,16,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,16,2,female,277.17
Maryborough,-25.55,152.69,2004,2004,16,2,female,288.42
Maryborough,-25.55,152.69,2004,2004,16,3,female,283.43
Maryborough,-25.55,152.69,2004,2004,16,3,female,283.43
Maryborough,-25.55,152.69,2004,2004,16,3,female,312.87
Maryborough,-25.55,152.69,2004,2004,16,3,female,328.05
Maryborough,-25.55,152.69,2004,2004,16,3,female,352.70
Maryborough,-25.55,152.69,2004,2004,17,2,female,259.08
Maryborough,-25.55,152.69,2004,2004,17,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,17,3,female,235.03
Maryborough,-25.55,152.69,2004,2004,17,3,female,253.25
Maryborough,-25.55,152.69,2004,2004,17,3,female,277.17
Maryborough,-25.55,152.69,2004,2004,19,2,female,222.60
Maryborough,-25.55,152.69,2004,2004,19,2,female,235.03
Maryborough,-25.55,152.69,2004,2004,20,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,20,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,20,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,20,2,female,301.70
Maryborough,-25.55,152.69,2004,2004,20,2,female,312.87
Maryborough,-25.55,152.69,2004,2004,20,3,female,253.25
Maryborough,-25.55,152.69,2004,2004,20,3,female,283.43
Maryborough,-25.55,152.69,2004,2004,22,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,22,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,22,1,female,253.25
Maryborough,-25.55,152.69,2004,2004,22,2,female,259.08
Maryborough,-25.55,152.69,2004,2004,22,2,female,277.17
Maryborough,-25.55,152.69,2004,2004,22,2,female,277.17
Maryborough,-25.55,152.69,2004,2004,23,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,23,1,female,241.42
Maryborough,-25.55,152.69,2004,2004,23,1,female,259.08
Maryborough,-25.55,152.69,2004,2004,23,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,23,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,23,2,female,271.48
Maryborough,-25.55,152.69,2004,2004,23,2,female,288.42
Maryborough,-25.55,152.69,2004,2004,24,1,female,241.42
Maryborough,-25.55,152.69,2004,2004,24,1,female,259.08
Maryborough,-25.55,152.69,2004,2004,24,1,female,283.43
Maryborough,-25.55,152.69,2004,2004,24,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,24,2,female,262.87
Maryborough,-25.55,152.69,2004,2004,24,3,female,295.48
Maryborough,-25.55,152.69,2004,2004,26,2,female,283.43
Maryborough,-25.55,152.69,2004,2004,26,2,female,295.48
Maryborough,-25.55,152.69,2004,2004,26,3,female,283.43
Maryborough,-25.55,152.69,2004,2004,26,3,female,301.70
Maryborough,-25.55,152.69,2004,2004,27,1,female,228.53
Maryborough,-25.55,152.69,2004,2004,27,1,female,253.25
Maryborough,-25.55,152.69,2004,2004,27,1,female,271.48
Maryborough,-25.55,152.69,2004,2004,27,2,female,222.60
Maryborough,-25.55,152.69,2004,2004,27,2,female,247.47
Maryborough,-25.55,152.69,2004,2004,27,3,female,271.48
Maryborough,-25.55,152.69,2004,2004,28,1,female,235.03
Maryborough,-25.55,152.69,2004,2004,28,1,female,262.87
Maryborough,-25.55,152.69,2004,2004,28,3,female,271.48
Maryborough,-25.55,152.69,2004,2004,29,2,female,295.48
Maryborough,-25.55,152.69,2004,2004,29,3,female,259.08
Maryborough,-25.55,152.69,2004,2004,29,3,female,352.70
Maryborough,-25.55,152.69,2004,2004,30,2,female,247.47
Maryborough,-25.55,152.69,2004,2004,30,2,female,247.47
Maryborough,-25.55,152.69,2004,2004,30,3,female,216.65
Maryborough,-25.55,152.69,2004,2004,30,3,female,222.60
Maryborough,-25.55,152.69,2004,2004,30,3,female,228.53
Maryborough,-25.55,152.69,2004,2004,1,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,1,1,male,288.42
Maryborough,-25.55,152.69,2004,2004,1,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,1,3,male,235.03
Maryborough,-25.55,152.69,2004,2004,2,1,male,228.53
Maryborough,-25.55,152.69,2004,2004,2,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,2,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,2,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,2,2,male,222.60
Maryborough,-25.55,152.69,2004,2004,2,2,male,235.03
Maryborough,-25.55,152.69,2004,2004,2,2,male,235.03
Maryborough,-25.55,152.69,2004,2004,3,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,3,1,male,312.87
Maryborough,-25.55,152.69,2004,2004,3,2,male,253.25
Maryborough,-25.55,152.69,2004,2004,3,2,male,262.87
Maryborough,-25.55,152.69,2004,2004,4,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,4,1,male,247.47
Maryborough,-25.55,152.69,2004,2004,4,1,male,283.43
Maryborough,-25.55,152.69,2004,2004,4,2,male,312.87
Maryborough,-25.55,152.69,2004,2004,4,3,male,283.43
Maryborough,-25.55,152.69,2004,2004,4,3,male,301.70
Maryborough,-25.55,152.69,2004,2004,5,1,male,271.48
Maryborough,-25.55,152.69,2004,2004,5,2,male,241.42
Maryborough,-25.55,152.69,2004,2004,5,2,male,253.25
Maryborough,-25.55,152.69,2004,2004,5,3,male,216.65
Maryborough,-25.55,152.69,2004,2004,5,3,male,228.53
Maryborough,-25.55,152.69,2004,2004,5,3,male,235.03
Maryborough,-25.55,152.69,2004,2004,6,3,male,259.08
Maryborough,-25.55,152.69,2004,2004,6,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,7,1,male,288.42
Maryborough,-25.55,152.69,2004,2004,7,1,male,295.48
Maryborough,-25.55,152.69,2004,2004,7,2,male,241.42
Maryborough,-25.55,152.69,2004,2004,7,2,male,241.42
Maryborough,-25.55,152.69,2004,2004,7,2,male,247.47
Maryborough,-25.55,152.69,2004,2004,7,3,male,295.48
Maryborough,-25.55,152.69,2004,2004,9,1,male,259.08
Maryborough,-25.55,152.69,2004,2004,9,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,9,1,male,295.48
Maryborough,-25.55,152.69,2004,2004,9,1,male,328.05
Maryborough,-25.55,152.69,2004,2004,9,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,9,2,male,295.48
Maryborough,-25.55,152.69,2004,2004,9,2,male,295.48
Maryborough,-25.55,152.69,2004,2004,10,1,male,222.60
Maryborough,-25.55,152.69,2004,2004,10,1,male,228.53
Maryborough,-25.55,152.69,2004,2004,10,1,male,247.47
Maryborough,-25.55,152.69,2004,2004,10,2,male,259.08
Maryborough,-25.55,152.69,2004,2004,10,2,male,259.08
Maryborough,-25.55,152.69,2004,2004,10,2,male,259.08
Maryborough,-25.55,152.69,2004,2004,10,2,male,352.70
Maryborough,-25.55,152.69,2004,2004,10,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,10,3,male,259.08
Maryborough,-25.55,152.69,2004,2004,10,3,male,259.08
Maryborough,-25.55,152.69,2004,2004,10,3,male,301.70
Maryborough,-25.55,152.69,2004,2004,11,3,male,259.08
Maryborough,-25.55,152.69,2004,2004,11,3,male,295.48
Maryborough,-25.55,152.69,2004,2004,12,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,12,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,12,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,12,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,12,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,12,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,12,2,male,228.53
Maryborough,-25.55,152.69,2004,2004,12,2,male,328.05
Maryborough,-25.55,152.69,2004,2004,12,3,male,241.42
Maryborough,-25.55,152.69,2004,2004,12,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,12,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,12,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,12,3,male,288.42
Maryborough,-25.55,152.69,2004,2004,13,1,male,295.48
Maryborough,-25.55,152.69,2004,2004,13,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,13,3,male,241.42
Maryborough,-25.55,152.69,2004,2004,13,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,14,1,male,241.42
Maryborough,-25.55,152.69,2004,2004,14,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,14,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,14,3,male,241.42
Maryborough,-25.55,152.69,2004,2004,14,3,male,247.47
Maryborough,-25.55,152.69,2004,2004,16,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,16,1,male,288.42
Maryborough,-25.55,152.69,2004,2004,16,1,male,306.82
Maryborough,-25.55,152.69,2004,2004,16,1,male,352.70
Maryborough,-25.55,152.69,2004,2004,16,1,male,352.70
Maryborough,-25.55,152.69,2004,2004,16,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,16,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,16,2,male,283.43
Maryborough,-25.55,152.69,2004,2004,16,2,male,295.48
Maryborough,-25.55,152.69,2004,2004,16,2,male,301.70
Maryborough,-25.55,152.69,2004,2004,16,3,male,301.70
Maryborough,-25.55,152.69,2004,2004,16,3,male,306.82
Maryborough,-25.55,152.69,2004,2004,17,1,male,259.08
Maryborough,-25.55,152.69,2004,2004,17,1,male,283.43
Maryborough,-25.55,152.69,2004,2004,17,1,male,283.43
Maryborough,-25.55,152.69,2004,2004,17,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,17,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,17,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,18,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,18,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,20,2,male,253.25
Maryborough,-25.55,152.69,2004,2004,20,3,male,259.08
Maryborough,-25.55,152.69,2004,2004,20,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,22,1,male,271.48
Maryborough,-25.55,152.69,2004,2004,22,2,male,312.87
Maryborough,-25.55,152.69,2004,2004,23,1,male,235.03
Maryborough,-25.55,152.69,2004,2004,23,1,male,271.48
Maryborough,-25.55,152.69,2004,2004,23,2,male,271.48
Maryborough,-25.55,152.69,2004,2004,23,2,male,328.05
Maryborough,-25.55,152.69,2004,2004,23,3,male,253.25
Maryborough,-25.55,152.69,2004,2004,23,3,male,262.87
Maryborough,-25.55,152.69,2004,2004,23,3,male,271.48
Maryborough,-25.55,152.69,2004,2004,24,1,male,228.53
Maryborough,-25.55,152.69,2004,2004,24,1,male,277.17
Maryborough,-25.55,152.69,2004,2004,24,2,male,259.08
Maryborough,-25.55,152.69,2004,2004,24,2,male,259.08
