Population,Latitude,Longitude,Year_start,Year_end,Temperature,Sex,Replicate_vial,Wing_thorax_ratio
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.35
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.35
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.29
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.35
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.20
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.29
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.29
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.39
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.33
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.38
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.37
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.38
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.37
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.26
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.26
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.21
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.35
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.33
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.32
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.34
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.30
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.30
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.29
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.31
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.31
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.21
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.28
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.38
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.27
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.34
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.29
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.32
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.31
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.34
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.35
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.32
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.31
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.39
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.42
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.34
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.43
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.40
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.32
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.37
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.38
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.42
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.40
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.41
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.36
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.48
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.35
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.42
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.41
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.44
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.19
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.27
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.29
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.35
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.37
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.23
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.14
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.16
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.09
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.09
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.06
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.23
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.17
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.15
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.09
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.12
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.14
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.13
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.15
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.05
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.16
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.22
Gordonvale,-17.15,145.97,2008,2008,25,female,2,2.06
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.13
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.18
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.19
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.10
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.10
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.07
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.02
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.05
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.12
Gordonvale,-17.15,145.97,2008,2008,25,female,3,2.13
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.19
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.09
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.16
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.09
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.15
Gordonvale,-17.15,145.97,2008,2008,25,male,1,2.23
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.19
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.14
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.06
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.07
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.14
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.35
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.20
Gordonvale,-17.15,145.97,2008,2008,25,male,2,2.25
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.11
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.08
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.31
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.22
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.26
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.18
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.24
Gordonvale,-17.15,145.97,2008,2008,25,male,3,2.04
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.16
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.09
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.07
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.12
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.16
Gordonvale,-17.15,145.97,2008,2008,29,female,1,2.09
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.05
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.02
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.04
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.00
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.11
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.07
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.05
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.21
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.11
Gordonvale,-17.15,145.97,2008,2008,29,female,2,2.00
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.10
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.13
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.10
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.14
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.02
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.07
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.02
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.12
Gordonvale,-17.15,145.97,2008,2008,29,female,3,2.14
Gordonvale,-17.15,145.97,2008,2008,29,female,3,1.98
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.03
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.13
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.06
Gordonvale,-17.15,145.97,2008,2008,29,male,1,1.98
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.09
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.04
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,male,1,2.10
Gordonvale,-17.15,145.97,2008,2008,29,male,1,1.98
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.11
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.10
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.05
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.06
Gordonvale,-17.15,145.97,2008,2008,29,male,2,1.98
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.02
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.11
Gordonvale,-17.15,145.97,2008,2008,29,male,2,1.97
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.03
Gordonvale,-17.15,145.97,2008,2008,29,male,2,2.01
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.05
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.04
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.08
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.15
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.09
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.18
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.12
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.11
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.12
Gordonvale,-17.15,145.97,2008,2008,29,male,3,2.14
Bowen,-19.97,148.22,2008,2008,18,female,1,2.33
Bowen,-19.97,148.22,2008,2008,18,female,1,2.28
Bowen,-19.97,148.22,2008,2008,18,female,1,2.41
Bowen,-19.97,148.22,2008,2008,18,female,1,2.32
Bowen,-19.97,148.22,2008,2008,18,female,1,2.33
Bowen,-19.97,148.22,2008,2008,18,female,1,2.34
Bowen,-19.97,148.22,2008,2008,18,female,1,2.25
Bowen,-19.97,148.22,2008,2008,18,female,1,2.30
Bowen,-19.97,148.22,2008,2008,18,female,1,2.33
Bowen,-19.97,148.22,2008,2008,18,female,2,2.41
Bowen,-19.97,148.22,2008,2008,18,female,2,2.33
Bowen,-19.97,148.22,2008,2008,18,female,2,2.31
Bowen,-19.97,148.22,2008,2008,18,female,2,2.40
Bowen,-19.97,148.22,2008,2008,18,female,2,2.28
Bowen,-19.97,148.22,2008,2008,18,female,2,2.28
Bowen,-19.97,148.22,2008,2008,18,female,2,2.35
Bowen,-19.97,148.22,2008,2008,18,female,2,2.29
Bowen,-19.97,148.22,2008,2008,18,female,2,2.35
Bowen,-19.97,148.22,2008,2008,18,female,2,2.34
Bowen,-19.97,148.22,2008,2008,18,female,3,2.32
Bowen,-19.97,148.22,2008,2008,18,female,3,2.28
Bowen,-19.97,148.22,2008,2008,18,female,3,2.32
Bowen,-19.97,148.22,2008,2008,18,female,3,2.37
Bowen,-19.97,148.22,2008,2008,18,female,3,2.36
Bowen,-19.97,148.22,2008,2008,18,female,3,2.29
Bowen,-19.97,148.22,2008,2008,18,female,3,2.36
Bowen,-19.97,148.22,2008,2008,18,female,3,2.31
Bowen,-19.97,148.22,2008,2008,18,female,3,2.35
Bowen,-19.97,148.22,2008,2008,18,female,3,2.26
Bowen,-19.97,148.22,2008,2008,18,male,1,2.33
Bowen,-19.97,148.22,2008,2008,18,male,1,2.31
Bowen,-19.97,148.22,2008,2008,18,male,1,2.41
Bowen,-19.97,148.22,2008,2008,18,male,1,2.33
Bowen,-19.97,148.22,2008,2008,18,male,1,2.23
Bowen,-19.97,148.22,2008,2008,18,male,1,2.39
Bowen,-19.97,148.22,2008,2008,18,male,1,2.36
Bowen,-19.97,148.22,2008,2008,18,male,1,2.38
Bowen,-19.97,148.22,2008,2008,18,male,1,2.39
Bowen,-19.97,148.22,2008,2008,18,male,2,2.50
Bowen,-19.97,148.22,2008,2008,18,male,2,2.35
Bowen,-19.97,148.22,2008,2008,18,male,2,2.48
Bowen,-19.97,148.22,2008,2008,18,male,2,2.42
Bowen,-19.97,148.22,2008,2008,18,male,2,2.34
Bowen,-19.97,148.22,2008,2008,18,male,2,2.35
Bowen,-19.97,148.22,2008,2008,18,male,2,2.34
Bowen,-19.97,148.22,2008,2008,18,male,2,2.31
Bowen,-19.97,148.22,2008,2008,18,male,2,2.29
Bowen,-19.97,148.22,2008,2008,18,male,2,2.40
Bowen,-19.97,148.22,2008,2008,18,male,3,2.28
Bowen,-19.97,148.22,2008,2008,18,male,3,2.32
Bowen,-19.97,148.22,2008,2008,18,male,3,2.21
Bowen,-19.97,148.22,2008,2008,18,male,3,2.30
Bowen,-19.97,148.22,2008,2008,18,male,3,2.29
Bowen,-19.97,148.22,2008,2008,18,male,3,2.24
Bowen,-19.97,148.22,2008,2008,18,male,3,2.35
Bowen,-19.97,148.22,2008,2008,18,male,3,2.38
Bowen,-19.97,148.22,2008,2008,18,male,3,2.29
Bowen,-19.97,148.22,2008,2008,25,female,3,2.15
Bowen,-19.97,148.22,2008,2008,25,female,3,2.12
Bowen,-19.97,148.22,2008,2008,25,female,3,2.19
Bowen,-19.97,148.22,2008,2008,25,female,3,2.21
Bowen,-19.97,148.22,2008,2008,25,female,3,2.16
Bowen,-19.97,148.22,2008,2008,25,female,3,2.14
Bowen,-19.97,148.22,2008,2008,25,female,3,2.08
Bowen,-19.97,148.22,2008,2008,25,female,3,2.20
Bowen,-19.97,148.22,2008,2008,25,female,3,2.10
Bowen,-19.97,148.22,2008,2008,25,female,3,2.20
Bowen,-19.97,148.22,2008,2008,25,male,3,2.16
Bowen,-19.97,148.22,2008,2008,25,male,3,2.15
Bowen,-19.97,148.22,2008,2008,25,male,3,2.17
Bowen,-19.97,148.22,2008,2008,25,male,3,2.23
Bowen,-19.97,148.22,2008,2008,25,male,3,2.13
Bowen,-19.97,148.22,2008,2008,25,male,3,2.21
Bowen,-19.97,148.22,2008,2008,25,male,3,2.22
Bowen,-19.97,148.22,2008,2008,25,male,3,2.12
Bowen,-19.97,148.22,2008,2008,25,male,3,2.28
Bowen,-19.97,148.22,2008,2008,29,female,1,2.10
Bowen,-19.97,148.22,2008,2008,29,female,1,2.10
Bowen,-19.97,148.22,2008,2008,29,female,1,2.17
Bowen,-19.97,148.22,2008,2008,29,female,1,2.15
Bowen,-19.97,148.22,2008,2008,29,female,1,2.11
Bowen,-19.97,148.22,2008,2008,29,female,1,2.13
Bowen,-19.97,148.22,2008,2008,29,female,1,2.12
Bowen,-19.97,148.22,2008,2008,29,female,1,2.16
